guid	name	date	ward	sink	timepoint	type	mlst_unknown
5b6f3b49-81d1-4bda-93e8-b8639d15e332	pi_ec_9446323_UC_7B_7B_26/03/2017	2017-03-26	GM			patient	ecoli 144
ecb5f5c6-eba4-45d8-b32b-9a03a88cec1c	pi_ec_1262305_UC_EAU_EAU_27/03/2017	2017-03-27	AA			patient	ecoli 127
fec51366-f5a9-4ad4-882d-1a16b711f460	pi_ec_1801612_UC_EAU_7C_01/04/2017	2017-04-01	AA			patient	ecoli 131
7e7500f3-f89c-4769-9054-00c705cf3168	pi_ec_1269762_UC_EAU_SSIP_14/04/2017	2017-04-14	AA			patient	ecoli 131
e69dd351-d716-41b2-bf6b-78e22b1cb461	pi_ec_1957587_UC_EAU_EAU_14/04/2017	2017-04-14	AA			patient	ecoli 73
e5e9e3a4-4884-4dbf-82cf-8adbdf20f7d7	pi_ec_1084159_UC_EAU_EAU_15/04/2017	2017-04-15	AA			patient	ecoli 550
44b8bbc2-7c98-40d4-a1dc-b2d649c6a82d	pi_ec_4098732_UC_AE_EAU_15/04/2017	2017-04-15	AA			patient	ecoli 127
33e6dcec-99a9-4dcb-b502-3f40497ede03	pi_ec_475814_UC_EAU_EAU_16/04/2017	2017-04-16	AA			patient	ecoli 80
22a9bee4-1fc1-4623-9d37-af10dd2d7638	pi_ec_5680557_UC_EAU_EAU_16/04/2017	2017-04-16	AA			patient	ecoli 73
67f8c1a5-3445-40aa-b611-fc254814584d	pi_ec_683792_UC_EAU_EAU_17/04/2017	2017-04-17	AA			patient	ecoli 69
95316ae1-0dd1-45d3-bed6-3ce242ed6070	pi_ec_683792_UC_7B_JRHI_21/04/2017	2017-04-21	GM			patient	ecoli 69
6745fe76-0e55-4875-a3d6-cd2e57f5efe3	pi_ec_3775920_UC_EAU_JRHI_23/04/2017	2017-04-23	AA			patient	ecoli 1485
99fa0386-e747-4461-9176-cd6db6d65881	pi_ec_985459_UC_EAU_CTU_24/04/2017	2017-04-24	AA			patient	ecoli 131
c91a63f6-1f2c-471c-aa00-f5fc21dac413	pi_ec_4047565_UC_EAU_JRHI_25/04/2017	2017-04-25	AA			patient	ecoli 95
affcc2d7-e9d1-4893-a8c3-173018d3b06c	pi_ec_1021356_UC_EAU_EAU_29/04/2017	2017-04-29	AA			patient	ecoli 69
20fa2cfc-9937-4ffc-af23-9ae372068ddd	pi_ec_2134367_UC_EAU_EAU_30/04/2017	2017-04-30	AA			patient	ecoli 131
68f07149-1df0-4fcc-bf59-41ae5ad4cb95	pi_ec_2031607_UC_EAU_EAU_30/04/2017	2017-04-30	AA			patient	ecoli 1722
33313b4b-6e17-4856-8cb9-5a2251186854	pi_ec_997303_UC_7B_JRHI_03/05/2017	2017-05-03	GM			patient	ecoli unk2
57b3d7de-143d-46cd-80a8-f2a242ff5785	pi_ec_3604017_UC_EAU_JRHI_05/05/2017	2017-05-05	AA			patient	ecoli 59
b6d97a33-e77e-4b5d-a9af-c17ca50edc3b	pi_ec_1358201_UC_EAU_EAU_14/05/2017	2017-05-14	AA			patient	ecoli unk5
301379bd-0f06-4d6c-a88b-51ce4abefb46	pi_ec_3171045_BLC_5B_7B_13/04/2017	2017-04-13	GM			patient	ecoli 73
3f11c62c-2276-43ed-97ec-7a46283130cc	pi_ec_203624_BLC_EAU_JRHI_25/04/2017	2017-04-25	AA			patient	ecoli 405
3dc42d10-dde4-4273-a685-bf7cbd2093fb	pi_ec_9445099_BLC_EAU_EAU_27/04/2017	2017-04-27	AA			patient	ecoli 73
affebe3d-9f14-4c6c-b7b2-dde4281cbcd6	pi_ec_1971716_BLC_EAU_CARDO_30/04/2017	2017-04-30	AA			patient	ecoli 73
b382c8a7-1f0f-4088-ba3a-82b0e1f24008	pi_ec_897151_BLC_EAU_ADA_13/05/2017	2017-05-13	AA			patient	ecoli 144
89b4260e-4910-4ec0-a2bf-933afedf2f11	pi_ec_4055065_BLC_SEU_ITU_27/03/2017	2017-03-27	AA			patient	ecoli 1057
03ee2b1b-5658-4dad-a933-9bc457654c18	pi_ec_234312_BLC_EAU_JRHI_13/04/2017	2017-04-13	AA			patient	ecoli 131
d4bec54c-ee1f-4ee7-8be2-ec1a1ca1154a	pi_ec_275254_BLC_EAU_ADA_30/05/2017	2017-05-30	AA			patient	ecoli 88
6605cdd0-4ea7-4643-b2e0-e6d1be07b2d9	pi_ec_392337_BLC_EAU_7C_21/05/2017	2017-05-21	AA			patient	ecoli 162
f51de740-a6bf-45e2-a6dd-24ecddbef512	pi_ec_552872_BLC_EAU_7A_05/04/2017	2017-04-05	AA			patient	ecoli 404
cf0b92bf-f38e-40bb-a106-f4a2156ace04	pi_ec_993457_BLC_EAU_6C_31/03/2017	2017-03-31	AA			patient	ecoli 73
e487bad9-f01c-4589-8a9e-2d69b725733e	pi_ec_1065813_BLC_EAU_JRHI_05/04/2017	2017-04-05	AA			patient	ecoli 73
efabc80f-22a0-47b4-8441-9beef19d88a2	pi_ec_1146636_BLC_EAU_JRHI_20/03/2017	2017-03-20	AA			patient	ecoli 349
bd95873d-728f-419a-9b15-73684adb92a5	pi_ec_1216821_BLC_EAU_SSIP_22/03/2017	2017-03-22	AA			patient	ecoli 12
2760b044-0efe-41e2-ba30-31909dcda8d3	pi_ec_1232898_BLC_EAU_ADA_30/04/2017	2017-04-30	AA			patient	ecoli 131
0662dae5-2b3b-4d83-8981-bae4a82d225b	pi_ec_1474609_BLC_EAU_EAU_21/05/2017	2017-05-21	AA			patient	ecoli 73
aa8a5154-6e59-4c86-8bf1-381b7ebe6d40	pi_ec_1576423_BLC_EAU_5F_11/03/2017	2017-03-11	AA			patient	ecoli 131
fecb9265-8a3d-4b57-9cdb-4fc78f08c5d6	pi_ec_2755743_BLC_EAU_5F_30/03/2017	2017-03-30	AA			patient	ecoli 12
22a88629-a247-438f-8429-5abab374b68c	pi_ec_2856654_BLC_EAU_7B_14/05/2017	2017-05-14	AA			patient	ecoli unk3
92a8a96b-5018-4b3a-adb6-6dfb83dcde13	si_ec_A7_7B_1_06/03/17_E1	2017-03-06	GM	A7	1.0	sink	ecoli 472
12fe0f09-a3b3-43d7-8749-bdd0359bff3d	si_ec_A7_7B_1_06/03/17_E2	2017-03-06	GM	A7	1.0	sink	ecoli 472
09015260-32cf-4ced-876a-4ba0d79a4339	si_ec_A7_7B_1_06/03/17_E3	2017-03-06	GM	A7	1.0	sink	ecoli 472
69723ff7-66b1-4041-95b8-fae81650eb58	si_ec_A7_7B_1_06/03/17_E4	2017-03-06	GM	A7	1.0	sink	ecoli 472
45a6a5c6-ba76-4316-9325-2ea2e69c2170	si_ec_A9_7B_1_06/03/17_E1	2017-03-06	GM	A9	1.0	sink	ecoli 399
67636db3-7330-42bd-9773-08dfacc04153	si_ec_A10_7B_1_06/03/17_E1	2017-03-06	GM	A10	1.0	sink	ecoli 635
79705d3a-ef55-4d1d-913e-0c56175a99e8	si_ec_A10_7B_1_06/03/17_E2	2017-03-06	GM	A10	1.0	sink	ecoli 635
b22f8b01-fc13-4845-80c2-cb83f3e8f08c	si_ec_A10_7B_1_06/03/17_E3	2017-03-06	GM	A10	1.0	sink	ecoli 635
819bb3e7-382d-406e-b40f-c2addf075b81	si_ec_A10_7B_1_06/03/17_E4	2017-03-06	GM	A10	1.0	sink	ecoli 635
5e87955b-e32b-499e-84a0-a91213819f0f	si_ec_A14_7B_1_06/03/17_E1	2017-03-06	GM	A14	1.0	sink	ecoli 635
02080367-872a-47fa-9412-a3eefb7cfb86	si_ec_A14_7B_1_06/03/17_E2	2017-03-06	GM	A14	1.0	sink	ecoli 635
685c3b64-d793-4157-af23-6ab001f34e83	si_ec_A14_7B_1_06/03/17_E3	2017-03-06	GM	A14	1.0	sink	ecoli 635
15cd1157-3cdc-44b7-a775-a985f7d771a2	si_ec_B1_AICU_1_08/03/17_E1	2017-03-08	ACC	B1	1.0	sink	ecoli 401
1e557147-9138-445e-a2b6-4a4a4559c631	si_ec_B1_AICU_1_08/03/17_E2	2017-03-08	ACC	B1	1.0	sink	ecoli 401
aa496624-0d68-4848-8dc5-0cc6546b90d0	si_ec_B1_AICU_1_08/03/17_E3	2017-03-08	ACC	B1	1.0	sink	ecoli 635
90065bbc-ee9b-4e89-bf22-3447f05cf6b3	si_ec_B1_AICU_1_08/03/17_E4	2017-03-08	ACC	B1	1.0	sink	ecoli 635
180f51e2-0015-419a-a565-34aaff99ab54	si_ec_B1_AICU_1_08/03/17_E5	2017-03-08	ACC	B1	1.0	sink	ecoli 401
5f70adbc-ad2d-4a7d-97ee-43d025ca11ed	si_ec_B12_AICU_1_08/03/17_E1	2017-03-08	ACC	B12	1.0	sink	ecoli unk1
8b7c3477-be97-47ed-a0c1-130a7c57218d	si_ec_B12_AICU_1_08/03/17_E2	2017-03-08	ACC	B12	1.0	sink	ecoli 635
75dadb6d-7859-4012-bbf5-3f907fbe24c9	si_ec_B12_AICU_1_08/03/17_E3	2017-03-08	ACC	B12	1.0	sink	ecoli 635
6ab96e28-0a6f-4ba7-8ef4-a0db9af33842	si_ec_B12_AICU_1_08/03/17_E4	2017-03-08	ACC	B12	1.0	sink	ecoli 401
97ba8e0e-db9c-46ba-80ba-5a99b2b44723	si_ec_A25_7B_1_06/03/17_E1	2017-03-06	GM	A25	1.0	sink	ecoli unk2
9230c674-96ee-436f-a7c3-2a61b658f8db	si_ec_A25_7B_1_06/03/17_E2	2017-03-06	GM	A25	1.0	sink	ecoli 409
8e515464-6875-4b1c-946a-0b5336301e61	si_ec_A25_7B_1_06/03/17_E3	2017-03-06	GM	A25	1.0	sink	ecoli unk2
42869559-6fcd-49bc-8849-a03fec5c52bc	si_ec_C2_EAU_1_13/03/17_E1	2017-03-13	AA	C2	1.0	sink	ecoli 635
9ba6b7d8-1b14-4ef9-b694-a2bd26565dbb	si_ec_C2_EAU_1_13/03/17_E2	2017-03-13	AA	C2	1.0	sink	ecoli 635
3691309f-f8ca-449e-9c2b-9ea3105c74fd	si_ec_C2_EAU_1_13/03/17_E3	2017-03-13	AA	C2	1.0	sink	ecoli 635
230a6b73-d052-4c36-a0e6-154593040d02	si_ec_C2_EAU_1_13/03/17_E4	2017-03-13	AA	C2	1.0	sink	ecoli 635
ea147518-2e4a-42b2-9cb4-1708f67cb5c2	si_ec_C5_EAU_1_13/03/17_E1	2017-03-13	AA	C5	1.0	sink	ecoli 635
53ae659e-2215-42d3-b656-f8976dda90ef	si_ec_C5_EAU_1_13/03/17_E2	2017-03-13	AA	C5	1.0	sink	ecoli 635
f22d8c72-06ab-4b80-99b1-30f6212724ca	si_ec_C5_EAU_1_13/03/17_E3	2017-03-13	AA	C5	1.0	sink	ecoli 635
0faa7140-f4c4-4214-95f0-98e9f5f2ed5c	si_ec_C5_EAU_1_13/03/17_E4	2017-03-13	AA	C5	1.0	sink	ecoli 635
21a846d7-1ddd-4941-9995-bdfa20a386b8	si_ec_C6_EAU_1_13/03/17_E1	2017-03-13	AA	C6	1.0	sink	ecoli 635
1738f35a-d853-4c39-9ae4-4a6dc450caf4	si_ec_C6_EAU_1_13/03/17_E2	2017-03-13	AA	C6	1.0	sink	ecoli 635
dff12537-a19a-4619-8f69-e7ba95942565	si_ec_C6_EAU_1_13/03/17_E3	2017-03-13	AA	C6	1.0	sink	ecoli 635
b40ca358-e0b0-45c1-97f9-a8967d86406f	si_ec_C6_EAU_1_13/03/17_E4	2017-03-13	AA	C6	1.0	sink	ecoli 635
50f0cf06-0551-4acb-bd3a-754f3b35a505	si_ec_C10_EAU_1_13/03/17_E1	2017-03-13	AA	C10	1.0	sink	ecoli 635
45546ab7-725b-43ab-9e1b-564d0c9b4840	si_ec_C10_EAU_1_13/03/17_E2	2017-03-13	AA	C10	1.0	sink	ecoli 635
f5870b9d-22ba-4cf4-b27b-5a5b3f4d4a3e	si_ec_C10_EAU_1_13/03/17_E3	2017-03-13	AA	C10	1.0	sink	ecoli 472
abd7f14e-53e3-443e-b2c8-c69d7dd673f9	si_ec_C10_EAU_1_13/03/17_E4	2017-03-13	AA	C10	1.0	sink	ecoli 635
c9ae821b-1efe-4a6a-9e98-7161be80f5fc	si_ec_C11_EAU_1_13/03/17_E1	2017-03-13	AA	C11	1.0	sink	ecoli unk4
0da7be30-560b-4e37-92c7-eb105e0ba6e5	si_ec_C11_EAU_1_13/03/17_E2	2017-03-13	AA	C11	1.0	sink	ecoli unk4
bf51a778-1606-427a-9ff3-5505f6e808f8	si_ec_C11_EAU_1_13/03/17_E4	2017-03-13	AA	C11	1.0	sink	ecoli unk4
ce0bbd75-06f1-4a2b-9f04-e48e931deec4	si_ec_C14_EAU_1_13/03/17_E2	2017-03-13	AA	C14	1.0	sink	ecoli 635
6f035ffa-ebe6-49a4-a363-43f5b6ab8d12	si_ec_A8_7B_2_27/03/17_E1	2017-03-27	GM	A8	2.0	sink	ecoli 399
be4cf1b5-527e-4be9-a9f5-df2239d5a877	si_ec_A8_7B_2_27/03/17_E2	2017-03-27	GM	A8	2.0	sink	ecoli 399
c3a447bb-01ce-4f1d-a6f0-d84116c396c8	si_ec_A8_7B_2_27/03/17_E3	2017-03-27	GM	A8	2.0	sink	ecoli 399
07825d59-ff1e-4a0c-920c-2a1105f8c1f7	si_ec_A8_7B_2_27/03/17_E4	2017-03-27	GM	A8	2.0	sink	ecoli 399
fe5b9fa4-af9f-4a5a-9f2c-fdbdbc680e9c	si_ec_A9_7B_2_27/03/17_E4	2017-03-27	GM	A9	2.0	sink	ecoli 399
280f6c97-5114-47ee-93c9-4bd1ba54e873	si_ec_A14_7B_2_27/03/17_E1	2017-03-27	GM	A14	2.0	sink	ecoli 635
5fd3ee40-e28a-4dbb-9807-20fca2ae200c	si_ec_B1_AICU_2_29/03/17_E1	2017-03-29	ACC	B1	2.0	sink	ecoli 401
8487bac1-8a5f-4d26-a824-ed982cafe788	si_ec_B1_AICU_2_29/03/17_E2	2017-03-29	ACC	B1	2.0	sink	ecoli 635
b3a58507-fbda-4bca-8a9c-0ac38ed9c8ef	si_ec_B1_AICU_2_29/03/17_E3	2017-03-29	ACC	B1	2.0	sink	ecoli 635
dce46f15-1d80-4222-8a35-7dba6e5c03c1	si_ec_B1_AICU_2_29/03/17_E4	2017-03-29	ACC	B1	2.0	sink	ecoli 401
55cc0650-8452-4166-bdc4-af10982735b9	si_ec_B12_AICU_2_29/03/17_E1	2017-03-29	ACC	B12	2.0	sink	ecoli 635
f6a13812-8aeb-4402-bbc1-aca4ca3a83d1	si_ec_B12_AICU_2_29/03/17_E2	2017-03-29	ACC	B12	2.0	sink	ecoli 401
3f04332a-2bd4-4747-926b-168448f7a2db	si_ec_B12_AICU_2_29/03/17_E3	2017-03-29	ACC	B12	2.0	sink	ecoli 401
10ae58e7-e4fe-4414-85cc-2590c233282f	si_ec_B12_AICU_2_29/03/17_E4	2017-03-29	ACC	B12	2.0	sink	ecoli 401
d79fba59-82a1-4b8f-8f40-1888bad096df	si_ec_A3_7B_2_27/03/17_E1	2017-03-27	GM	A3	2.0	sink	ecoli 472
160269b4-99ee-4fdf-81d2-bed32f4b4e4b	si_ec_A3_7B_2_27/03/17_E2	2017-03-27	GM	A3	2.0	sink	ecoli 472
3e99d220-0f73-4298-adfb-c75de2aff576	si_ec_A3_7B_2_27/03/17_E4	2017-03-27	GM	A3	2.0	sink	ecoli 472
76cd0000-bf91-4920-8e86-60f840a0d162	si_ec_A10_7B_2_27/03/17_E2	2017-03-27	GM	A10	2.0	sink	ecoli 635
3caa7224-3ba7-4043-8352-83eea3450800	si_ec_A10_7B_2_27/03/17_E4	2017-03-27	GM	A10	2.0	sink	ecoli 635
dd57fd6d-11f0-49c5-8972-2c3baf10c088	si_ec_A25_7B_2_27/03/17_E2	2017-03-27	GM	A25	2.0	sink	ecoli 635
53c4186c-3b1f-42b9-84f9-8d38a775bf53	si_ec_A25_7B_2_27/03/17_E3	2017-03-27	GM	A25	2.0	sink	ecoli 635
33a2248d-c750-47cb-8639-017298f0449d	si_ec_A25_7B_2_27/03/17_E4	2017-03-27	GM	A25	2.0	sink	ecoli 635
569d9656-96a0-4ee3-abb3-230f214bdb09	si_ec_C2_EAU_2_03/04/17_E1	2017-04-03	AA	C2	2.0	sink	ecoli 635
5b7f535e-f7e6-43cd-8ce0-492f9a43e561	si_ec_C2_EAU_2_03/04/17_E2	2017-04-03	AA	C2	2.0	sink	ecoli 635
513f0c3e-3db3-49a9-bfb7-9a3717772696	si_ec_C2_EAU_2_03/04/17_E3	2017-04-03	AA	C2	2.0	sink	ecoli 635
25b1188d-2fbe-4aa9-9009-a8bef295d4a4	si_ec_C6_EAU_2_03/04/17_E1	2017-04-03	AA	C6	2.0	sink	ecoli 635
58390524-9cff-4c96-a0f5-0bc6dd55c1c7	si_ec_C6_EAU_2_03/04/17_E2	2017-04-03	AA	C6	2.0	sink	ecoli 635
75e7a362-7152-4989-9152-a37490b98f9b	si_ec_C6_EAU_2_03/04/17_E3	2017-04-03	AA	C6	2.0	sink	ecoli 635
43d01560-45bd-4d3d-ab18-9dd375ab20b0	si_ec_C6_EAU_2_03/04/17_E4	2017-04-03	AA	C6	2.0	sink	ecoli 635
5f95d20c-48a8-47d0-a2ce-f52cec91a6ad	si_ec_C18_EAU_2_03/04/17_E1	2017-04-03	AA	C18	2.0	sink	ecoli 635
b4f7d324-471d-44da-8de4-2ff221e1054d	si_ec_C10_EAU_2_03/04/17_E5	2017-04-03	AA	C10	2.0	sink	ecoli 472
03297834-8d15-44e4-bd0d-38a0e234f8b5	si_ec_C10_EAU_2_03/04/17_E1	2017-04-03	AA	C10	2.0	sink	ecoli 635
82bf8e69-cf7c-4ce8-9e22-de575c539f56	si_ec_C10_EAU_2_03/04/17_E2	2017-04-03	AA	C10	2.0	sink	ecoli 635
218dbcc5-69b2-4776-b68b-5160be8e1c40	si_ec_C10_EAU_2_03/04/17_E3	2017-04-03	AA	C10	2.0	sink	ecoli 635
4978f41b-10ee-4a45-a0ee-3b203a884b14	si_ec_C10_EAU_2_03/04/17_E4	2017-04-03	AA	C10	2.0	sink	ecoli 635
21fcb2d4-0d2f-4b90-92ec-a900f0ba035f	si_ec_C14_EAU_2_03/04/17_E1	2017-04-03	AA	C14	2.0	sink	ecoli 635
092b70eb-3441-45ca-98fa-4e549fb794bc	si_ec_C14_EAU_2_03/04/17_E3	2017-04-03	AA	C14	2.0	sink	ecoli 635
1836150e-89fa-4401-94a9-c850cc47a41a	si_ec_C14_EAU_2_03/04/17_E5	2017-04-03	AA	C14	2.0	sink	ecoli 635
c0c61866-8a91-4242-b285-3644a7a9ef83	si_ec_C14_EAU_2_03/04/17_E6	2017-04-03	AA	C14	2.0	sink	ecoli 635
7bf11e2a-0455-4798-8dc0-13cf15815d67	si_ec_C14_EAU_2_03/04/17_E7	2017-04-03	AA	C14	2.0	sink	ecoli 635
6f389a8c-821e-444c-8a7c-a0d8be1555a2	si_ec_C5_EAU_2_03/04/17_E1	2017-04-03	AA	C5	2.0	sink	ecoli 635
57a195d5-0fdd-44be-b6ea-4c753991574f	si_ec_C5_EAU_2_03/04/17_E2	2017-04-03	AA	C5	2.0	sink	ecoli 635
05685e6a-3353-47b1-a867-2f6c933b92c5	si_ec_C5_EAU_2_03/04/17_E3	2017-04-03	AA	C5	2.0	sink	ecoli 635
4973e942-a1a2-4147-8144-7bb58bc10d5f	si_ec_C5_EAU_2_03/04/17_E4	2017-04-03	AA	C5	2.0	sink	ecoli 635
c1c7ff39-b275-443e-9cde-f34d31df3d8f	si_ec_C15_EAU_2_03/04/17_E2	2017-04-03	AA	C15	2.0	sink	ecoli 635
5d91c376-6e20-4901-842a-4d688430e37b	si_ec_A10_7B_3_18/04/17_E1	2017-04-18	GM	A10	3.0	sink	ecoli 635
44b7826b-a526-4c98-801f-d0edbd3b132e	si_ec_A10_7B_3_18/04/17_E2	2017-04-18	GM	A10	3.0	sink	ecoli 635
14c8291a-2f15-45ba-9e8a-7eb0ca3ca896	si_ec_A10_7B_3_18/04/17_E3	2017-04-18	GM	A10	3.0	sink	ecoli 635
9d766528-5fda-429a-8260-c0f7e085a8f9	si_ec_A10_7B_3_18/04/17_E4	2017-04-18	GM	A10	3.0	sink	ecoli 635
a6e24970-d435-4dde-905b-2581bb4e060d	si_ec_A3_7B_3_18/04/17_E1	2017-04-18	GM	A3	3.0	sink	ecoli 472
ab738093-e7e0-4ff4-ab9d-56188c8bf0ab	si_ec_A14_7B_3_18/04/17_E1	2017-04-18	GM	A14	3.0	sink	ecoli 635
0fd09c3a-4da8-4dcd-a823-34930a2a4a37	si_ec_A14_7B_3_18/04/17_E2	2017-04-18	GM	A14	3.0	sink	ecoli 635
712eab94-64c9-43d1-827b-21a8f6832ef4	si_ec_A14_7B_3_18/04/17_E3	2017-04-18	GM	A14	3.0	sink	ecoli 635
4dd1b2a8-b43a-4e3d-97fa-7c5b97c9ce6b	si_ec_A14_7B_3_18/04/17_E4	2017-04-18	GM	A14	3.0	sink	ecoli 635
4f6f44c4-f0a8-4f66-b9d3-aede5ee65a2e	si_ec_A25_7B_3_18/04/17_E1	2017-04-18	GM	A25	3.0	sink	ecoli 401
f85f26ed-3520-475c-8909-aa026da875fa	si_ec_A25_7B_3_18/04/17_E2	2017-04-18	GM	A25	3.0	sink	ecoli 401
1afbf5b5-8c57-4510-b8c9-5fa66f9b994b	si_ec_A25_7B_3_18/04/17_E3	2017-04-18	GM	A25	3.0	sink	ecoli 409
acb8fe6f-1b40-45d5-8772-eb6d4313099c	si_ec_A25_7B_3_18/04/17_E4	2017-04-18	GM	A25	3.0	sink	ecoli 409
d5d2c60a-3f3c-419f-8d13-a52ac5f85515	si_ec_A8_7B_3_18/04/17_E4	2017-04-18	GM	A8	3.0	sink	ecoli 472
03d85ba8-d254-4188-86bc-e97cf1f3c7c7	si_ec_B1_AICU_3_20/04/17_E1	2017-04-20	ACC	B1	3.0	sink	ecoli 635
9ceaadfa-ff8f-460f-891b-80f16ac94d23	si_ec_B1_AICU_3_20/04/17_E2	2017-04-20	ACC	B1	3.0	sink	ecoli 401
425fe967-dd63-4d73-9202-523661a3d903	si_ec_B1_AICU_3_20/04/17_E3	2017-04-20	ACC	B1	3.0	sink	ecoli 635
359e8538-15e3-404c-b85d-376448369118	si_ec_B1_AICU_3_20/04/17_E4	2017-04-20	ACC	B1	3.0	sink	ecoli 401
44b919c9-aa78-4667-b436-da4727ccf74b	si_ec_B16_AICU_3_20/04/17_E1	2017-04-20	ACC	B16	3.0	sink	ecoli 6188
6f7c34c4-d025-47eb-a104-843b1d828245	si_ec_B16_AICU_3_20/04/17_E2	2017-04-20	ACC	B16	3.0	sink	ecoli 6188
b1116e8b-fd89-44a1-84b2-de1e86e3b997	si_ec_B16_AICU_3_20/04/17_E3	2017-04-20	ACC	B16	3.0	sink	ecoli 6188
